project	bug_ID	priority	type(person1)	type(person2)	type(final decision)	bug_URL	created_time	patch_URL
Lucene	LUCENE-10288	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10288	2021/12/6	https://github.com/apache/lucene/pull/607/files
Lucene	LUCENE-10259	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10259	2021/11/24	https://github.com/apache/lucene/pull/472/files
Lucene	LUCENE-10147	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10147	2021/10/4	https://github.com/apache/lucene/pull/361/files
Lucene	LUCENE-10063	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10063	2021/8/21	https://github.com/apache/lucene/pull/262/files
Lucene	LUCENE-9661	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9661	2021/1/9	https://github.com/apache/lucene/commit/eb24e95731b9f865b95b821c1745264fdc58119d
Lucene	LUCENE-9478	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9478	2020/8/24	https://github.com/apache/lucene/commit/098f0dc8b414ca9c9a47cf7ebf4383198fb946fe
Lucene	LUCENE-9103	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9103	2019/12/19	https://github.com/apache/lucene/commit/907d1142fa435451b40c072f1d445ee868044b15
Lucene	LUCENE-8669	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8669	2019/1/30	https://github.com/apache/lucene/commit/edb05314b315acf9abc4f9fdb3d30e17aff7feba
Lucene	LUCENE-8594	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8594	2018/12/6	https://github.com/apache/lucene/commit/aaa64d7015998f28aaffac031c4032abf73bebd6
Lucene	LUCENE-8592	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8592	2018/12/5	https://github.com/apache/lucene/commit/9f29ed0757eae12d8311ffd6891f7032370ea39a
Lucene	LUCENE-8559	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8559	2018/12/5	https://github.com/apache/lucene/commit/9952af099ae65f051056fc8ff55c8e8f4cfb3b93
Lucene	LUCENE-8556	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8556	2018/12/2	https://github.com/apache/lucene/commit/74e3ff509e85982a5529ca99c8e3e9ec2f96770a
Lucene	LUCENE-8550	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8550	2018/10/30	https://github.com/apache/lucene/commit/74e3ff509e85982a5529ca99c8e3e9ec2f96770a
Lucene	LUCENE-8549	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8549	2018/10/29	https://github.com/apache/lucene/commit/ae9185f7d82d04a0bde6743dd6f8d009d0271bb7
Lucene	LUCENE-8534	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8534	2018/10/17	https://github.com/apache/lucene/commit/6ae9aa2a320420537f85908a899dbb995f7802e4
Lucene	LUCENE-8522	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8522	2018/10/4	https://github.com/apache/lucene/commit/a5665d8ae7fbc79b47c38c93588a347215c98405
Lucene	LUCENE-8358	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8358	2018/6/15	https://github.com/apache/lucene/commit/772e171ac6e70c96295f65749d0d15339133b8a6
Lucene	LUCENE-8227	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8227	2018/5/27	https://github.com/apache/lucene/commit/6dcb6ae64155921ffb2841732844c9b8776968bd
Lucene	LUCENE-8090	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8090	2017/12/11	https://github.com/apache/lucene/commit/9ad84fea80a459be4e85b6ff6ef0a1976bcffe38
Lucene	LUCENE-8082	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8082	2017/12/7	https://github.com/apache/lucene/commit/68d16c2a65b4acd0ce1ca543ae53a82e2516f1e5
Lucene	LUCENE-7963	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-7963	2017/9/8	https://github.com/apache/lucene/commit/a5402f68631768bae57d923613211128de077982
Lucene	LUCENE-7894	blocker	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-7894	2017/1/30	https://github.com/apache/lucene/commit/ee1edd9d467bbccfe7015ec5ebee93f8b5bd4b14
Lucene	LUCENE-9500	critical	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-9500	2020/9/20	https://github.com/apache/lucene/commit/99df3814abff7c40e80530edc90a2f008a3b92b5
Lucene	LUCENE-8755	critical	T1.2.1	T1.2.1	T1.2.1	https://issues.apache.org/jira/browse/LUCENE-8755	2019/4/8	https://github.com/apache/lucene/commit/26628b2717a73235db56fde94f7f5b64cbc5b8b2
Lucene	LUCENE-8522	critical	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8522	2018/10/4	https://github.com/apache/lucene/commit/a5665d8ae7fbc79b47c38c93588a347215c98405
Lucene	LUCENE-8175	critical	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-8175	2018/2/14	https://github.com/apache/lucene/commit/40c8792dbfe70e09ad6b4c1fae2cdcf62da9637e
Lucene	LUCENE-7651	critical	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-7651	2017/1/22	https://github.com/apache/lucene/commit/ee5a36011220bd2a7a8e45de27d5321cc7610bff
Lucene	LUCENE-10623	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10623	2022/6/19	https://github.com/apache/lucene/pull/967/files
Lucene	LUCENE-10607	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10607	2022/6/9	https://github.com/apache/lucene/pull/970/files
Lucene	LUCENE-10598	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10598	2022/5/30	https://github.com/apache/lucene/pull/957/files
Lucene	LUCENE-10579	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10579	2022/5/18	https://github.com/apache/lucene/pull/903/files
Lucene	LUCENE-10575	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10575	2022/5/16	https://github.com/apache/lucene/pull/894/files#
Lucene	LUCENE-10574	major	T1.2.2	T1.2.2	T1.2.2	https://issues.apache.org/jira/browse/LUCENE-10574	2022/5/16	https://github.com/apache/lucene/pull/900/files
Lucene	LUCENE-10563	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10563	2022/5/9	https://github.com/apache/lucene/pull/933/files
Lucene	LUCENE-10552	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10552	2022/5/2	https://github.com/apache/lucene/pull/859/files
Lucene	LUCENE-10535	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10535	2022/4/26	https://github.com/apache/lucene/commit/2966228faee
Lucene	LUCENE-10530	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10530	2022/4/23	https://github.com/apache/lucene/pull/848/files
Lucene	LUCENE-10518	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10518	2022/4/16	https://github.com/apache/lucene/pull/842/files
Lucene	LUCENE-10514	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10514	2022/4/12	https://github.com/apache/lucene/pull/809/files
Lucene	LUCENE-10508	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10508	2022/4/8	https://github.com/apache/lucene/pull/804/files
Lucene	LUCENE-10500	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10500	2022/4/5	https://github.com/apache/lucene/pull/788/files
Lucene	LUCENE-10470	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10470	2022/3/16	https://github.com/apache/lucene/pull/756/files
Lucene	LUCENE-10461	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10461	2022/3/11	https://github.com/apache/lucene/pull/743/files
Lucene	LUCENE-10459	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10459	2022/3/10	https://github.com/apache/lucene/pull/744/files
Lucene	LUCENE-10458	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10458	2022/3/8	https://github.com/apache/lucene/pull/736/files
Lucene	LUCENE-10428	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10428	2022/2/18	https://github.com/apache/lucene/pull/711/files
Lucene	LUCENE-10417	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10417	2022/2/10	https://github.com/apache/lucene/pull/707/files
Lucene	LUCENE-10407	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10407	2022/2/4	https://github.com/apache/lucene/pull/648/files
Lucene	LUCENE-10405	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10405	2022/2/4	https://github.com/apache/lucene/pull/647/files#
Lucene	LUCENE-10402	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10402	2022/2/3	https://github.com/apache/lucene/pull/646/files
Lucene	LUCENE-10401	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10401	2022/2/3	https://github.com/apache/lucene/pull/642/files
Lucene	LUCENE-10364	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10364	2022/1/7	https://github.com/apache/lucene/pull/590/files
Lucene	LUCENE-10335	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10335	2021/12/22	https://github.com/apache/lucene/pull/567/files
Lucene	LUCENE-10331	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10331	2021/12/20	https://github.com/apache/lucene/pull/554/files
Lucene	LUCENE-10279	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10279	2021/12/2	https://github.com/apache/lucene/pull/503/files
Lucene	LUCENE-10272	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10272	2021/12/30	https://github.com/apache/lucene/pull/493/files
Lucene	LUCENE-10264	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10264	2021/12/24	https://github.com/apache/lucene/pull/478/files
Lucene	LUCENE-10260	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10260	2021/12/24	https://github.com/apache/lucene/pull/473/files
Lucene	LUCENE-10228	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10228	2021/12/9	https://github.com/apache/lucene/pull/432/files
Lucene	LUCENE-10226	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENE-10226	2021/12/9	https://github.com/apache/lucene/commit/263765a
